Cytokine,Mean_Group_S,Mean_Group_U,SD_Group_S,SD_Group_U,P_Value,T_Statistic,Cohens_D,Significant
IL-2,463.262,2.507,897.055,1.288,1.006e-02,2.742,1.167,Yes
IL-12p70,5954.723,23.983,11604.388,9.25,1.039e-02,2.728,1.162,Yes
IL-10,505.201,5.773,983.675,3.543,1.086e-02,2.71,1.154,Yes
IFN-γ,145.569,3.862,281.541,2.796,1.151e-02,2.686,1.144,Yes
IL-6,1006.341,338.134,1982.498,585.353,1.335e-01,1.541,0.656,No
TNF-α,109.044,20.241,211.838,8.611,3.312e-02,2.23,0.95,Yes
KC/GRO,410.599,336.503,781.062,246.655,6.733e-01,0.426,0.181,No
IL-4,316.47,0.476,613.647,0.377,9.884e-03,2.749,1.17,Yes
IL-1β,287.417,285.685,552.641,157.151,9.885e-01,0.014,0.006,No
IL-5,181.594,1.328,350.649,0.608,9.995e-03,2.744,1.169,Yes
